city,name,zip,address2,hours,state,location,address,services,type,id
Tulsa,Tulsa Midtown,74135,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-10; Sat: 9-10; Sun: 10-8,OK,"{u'lat': 36.099899, u'lon': -95.913109}",5520 E Skelly Dr,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Electronics Recycling', u'Hablamos Espa\xf1ol', u'Car & GPS Installation Services', u'Samsung Experience Shop']",BigBox,762
Honolulu,Honolulu,96817,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 10-8,HI,"{u'lat': 21.318649, u'lon': -157.87526}",478 Alakawa St,"[u'Windows Store', u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Pacific Sales Kitchen & Home', u'Apple Shop', u'Electronics Recycling', u'Samsung Experience', u'LG Experience ', u'Sony Experience ', u'Magnolia Home Theater', u'Car & GPS Installation Services']",BigBox,763
Sherman Oaks,Sherman Oaks,91403,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,CA,"{u'lat': 34.153481, u'lon': -118.44733}",4500 Van Nuys Blvd,"[u'Windows Store', u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Electronics Recycling', u'Samsung Experience', u'LG Experience ', u'Sony Experience ', u'Pacific Sales Kitchen & Home', u'Magnolia Home Theater', u'Hablamos Espa\xf1ol']",BigBox,764
Chesapeake,Chesapeake Square,23321,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,VA,"{u'lat': 36.823021, u'lon': -76.4105}",4107 Portsmouth Blvd,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Car & GPS Installation Services', u'Samsung Experience Shop', u'Windows Store']",BigBox,766
Estero,Coconut Point,33928,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,FL,"{u'lat': 26.402115, u'lon': -81.809525}",8000 Mediterranean Dr,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Electronics Recycling', u'Samsung Experience Shop', u'Windows Store', u'LG Experience ', u'Car & GPS Installation Services', u'Magnolia Home Theater']",BigBox,767
Kansas City,Liberty,64157,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,MO,"{u'lat': 39.246937, u'lon': -94.467415}",8500 N Flintlock Rd,"[u'Geek Squad Services', u'Samsung Experience Shop', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Car & GPS Installation Services', u'Windows Store']",BigBox,768
Salisbury,Salisbury,21804,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,MD,"{u'lat': 38.416882, u'lon': -75.565224}",109 E North Pointe Dr.,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Car & GPS Installation Services', u'Samsung Experience Shop']",BigBox,772
Orem,Orem,84058,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,UT,"{u'lat': 40.274288, u'lon': -111.68864}",309 E University Pkwy,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Electronics Recycling', u'Car & GPS Installation Services', u'Samsung Experience Shop', u'Windows Store']",BigBox,773
Tustin,Tustin,92782,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,CA,"{u'lat': 33.721481, u'lon': -117.79408}",2982 El Camino Real,"[u'Windows Store', u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Electronics Recycling', u'Hablamos Espa\xf1ol', u'Samsung Experience', u'LG Experience ', u'Sony Experience ', u'Car & GPS Installation Services', u'Magnolia Home Theater']",BigBox,774
Eastvale,Eastvale,91752,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 10-8,CA,"{u'lat': 33.977989, u'lon': -117.54958}",12281 Limonite Ave,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Electronics Recycling', u'Windows Store', u'Samsung Experience', u'Hablamos Espa\xf1ol', u'Car & GPS Installation Services']",BigBox,775
