sku,category,name,url,price,upc,shipping,model,manufacturer,type,image,description
1004831,"[{u'id': u'abcat0400000', u'name': u'Cameras & Camcorders'}, {u'id': u'abcat0410022', u'name': u'Camcorder Accessories'}, {u'id': u'pcmcat329700050009', u'name': u'Action Camcorder Accessories'}, {u'id': u'pcmcat240500050057', u'name': u'Action Camcorder Mounts'}, {u'id': u'pcmcat329700050020', u'name': u'Handlebar/Seatpost Mounts'}]",GoPro - Ride HERO Handlebar Seatpost Mount - Black,http://www.bestbuy.com/site/gopro-ride-hero-handlebar-seatpost-mount-black/1004831.p?id=1218249515161&skuId=1004831&cmp=RMXCC,19.99,185323000064,5.49,GRH30,GoPro,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1004/1004831_rc.jpg,"Compatible with most GoPro cameras; clamps on tubes 3/4"" - 1-1/2"" in diameter; pivoting orientation arms with 3-way adjustability"
1005118,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050020', u'name': u'Recording Equipment'}, {u'id': u'pcmcat205700050037', u'name': u'Recording Furniture & Stands'}, {u'id': u'pcmcat251600050005', u'name': u'Recording & Music Stands'}]",American DJ - Dura Clamp,http://www.bestbuy.com/site/american-dj-dura-clamp/1005118.p?id=1218207308279&skuId=1005118CC,9.99,640282015868,5.49,Dura Clamp,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005118_sa.jpg,"From our expanded online assortment; designed for use with the Dura Truss system; supports lighting fixtures up to 20 lbs.; fits 1/2"" truss rods"
1005181,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050027', u'name': u'DJ & Lighting Equipment'}, {u'id': u'pcmcat152100050032', u'name': u'DJ Lighting & Effects'}]","American DJ - 20"" Glass Mirror Ball",http://www.bestbuy.com/site/american-dj-20-glass-mirror-ball/1005181.p?id=1218207307176&skuId=1005181CC,89.99,640282034272,0,M-2020,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005181_sa.jpg,Compatible with M-101 and M-103 mirror ball motors; glass material
1005215,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050027', u'name': u'DJ & Lighting Equipment'}, {u'id': u'pcmcat152100050032', u'name': u'DJ Lighting & Effects'}]",American DJ - Elation 4-Channel Chase Controller - Black,http://www.bestbuy.com/site/american-dj-elation-4-channel-chase-controller-black/1005215.p?id=1218207312107&skuId=1005215CC,59.99,640282052917,0,T4,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005215_sa.jpg,"From our expanded online assortment; instant sound-to-light chase; timed, audio and chase modes; built-in microphone"
1005288,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050027', u'name': u'DJ & Lighting Equipment'}, {u'id': u'pcmcat152100050032', u'name': u'DJ Lighting & Effects'}]",American DJ - Color Gel Filter (4-Pack),http://www.bestbuy.com/site/american-dj-color-gel-filter-4-pack/1005288.p?id=1218207302583&skuId=1005288CC,12.99,640282014441,5.49,CGS-8A,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005288_sa.jpg,"Designed for use with most Par-56 can gel frames; red, blue, yellow and green gel filters"
1005297,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050027', u'name': u'DJ & Lighting Equipment'}, {u'id': u'pcmcat152100050032', u'name': u'DJ Lighting & Effects'}]",American DJ - Crystal Bright Accent Strip CW LED Strip (4-Pack) - White,http://www.bestbuy.com/site/american-dj-crystal-bright-accent-strip-cw-led-strip-4-pack-white/1005297.p?id=1218207312036&skuId=1005297CC,39.99,640282000734,0,Accent Strip Black CW,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005297_sa.jpg,From our expanded online assortment; 4 self-adhesive strips; cool white LEDs; AC adapter
1005312,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050020', u'name': u'Recording Equipment'}, {u'id': u'pcmcat205700050037', u'name': u'Recording Furniture & Stands'}, {u'id': u'pcmcat251600050005', u'name': u'Recording & Music Stands'}]",American DJ - Tripod Stand - Black,http://www.bestbuy.com/site/american-dj-tripod-stand-black/1005312.p?id=1218207306201&skuId=1005312CC,44.99,640282033763,0,Lts-6,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005312_sa.jpg,"From our expanded online assortment; designed for use with most par cans, pin spots and lighting fixtures; extends up to 9'; collapsible design"
1005358,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050027', u'name': u'DJ & Lighting Equipment'}, {u'id': u'pcmcat152100050032', u'name': u'DJ Lighting & Effects'}]",American DJ - DMX Dimmer Pack,http://www.bestbuy.com/site/american-dj-dmx-dimmer-pack/1005358.p?id=1218207306104&skuId=1005358CC,199.99,640282044301,0,DP-DMX20L,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005358_sa.jpg,From our expanded online assortment; digital display; LED indicators; 16 built-in chases; reversible mounting brackets
1005409,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050027', u'name': u'DJ & Lighting Equipment'}, {u'id': u'pcmcat152100050032', u'name': u'DJ Lighting & Effects'}]","American DJ - 16"" Glass Mirror Ball",http://www.bestbuy.com/site/american-dj-16-glass-mirror-ball/1005409.p?id=1218207315272&skuId=1005409&cmp=RMXCC,54.99,640282034180,0,M-1616,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005409_sa.jpg,From our expanded online assortment; compatible with M-101 and M-103 mirror ball motors; glass material
1005454,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050027', u'name': u'DJ & Lighting Equipment'}, {u'id': u'pcmcat152100050032', u'name': u'DJ Lighting & Effects'}]",American DJ - Bubble Blast Bubble Machine,http://www.bestbuy.com/site/american-dj-bubble-blast-bubble-machine/1005454.p?id=1218207314448&skuId=1005454CC,299.99,640282012997,0,Bubble Blast,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005454_rc.jpg,Compatible with most types of bubble liquid; dual-fan lift system; drainage valve system; top-load filling container; remote; on/off switch; wheels and dual handles
